station_id,latitude,longitude,upstream_pfas_facility_count,nearest_pfas_facility_km,watershed_area_km2,pct_urban,mean_annual_flow_m3s,stream_order,month,water_pfas_ng_l,huc8,sample_date,year,n_congeners,segment_id
21NYDECA_WQX-4345,41.242193,-74.025626,2,27.24,5552.4,7.3,555.24,7,7,1.67,2030101.0,2022-07-20,2022,3,seg_000148
21NYDECA_WQX-4370,41.628,-74.331,2,23.79,5535.6,7.3,553.56,7,7,1.72,2020007.0,2022-07-21,2022,4,seg_000149
21NYDECA_WQX-4548,42.444741,-77.100706,0,269.35,2898.7,11.3,289.87,7,8,2.28,2050105.0,2022-08-02,2022,4,seg_000150
21NYDECA_WQX-458,42.11245,-79.20303,0,302.8,369.4,12.4,36.94,4,4,1.7,5010002.0,2021-04-12,2021,1,seg_000151
21NYDECA_WQX-458,42.11245,-79.20303,0,302.8,369.4,12.4,36.94,4,8,2.0,5010002.0,2021-08-16,2021,1,seg_000152
21NYDECA_WQX-5050,42.37144,-76.73452,0,238.44,3230.4,10.8,323.04,7,7,1.3,2050103.0,2023-07-19,2023,1,seg_000153
21NYDECA_WQX-5589,42.098536,-75.737776,0,151.14,4167.0,9.4,416.7,7,7,7.7,2050101.0,2023-07-18,2023,3,seg_000154
21NYDECA_WQX-601,43.485876,-76.456671,0,272.6,294.4,12.3,29.44,4,4,6.1,4140102.0,2021-04-20,2021,2,seg_000155
21NYDECA_WQX-601,43.485876,-76.456671,0,272.6,294.4,12.3,29.44,4,8,16.8,4140102.0,2021-08-25,2021,4,seg_000156
21NYDECA_WQX-602,43.486561,-76.449,0,272.01,293.9,12.3,29.39,4,4,3.7,4140102.0,2021-04-20,2021,1,seg_000157
21NYDECA_WQX-602,43.486561,-76.449,0,272.01,293.9,12.3,29.39,4,8,10.6,4140102.0,2021-08-25,2021,3,seg_000158
21NYDECA_WQX-634,43.254,-77.742,0,356.96,1965.6,12.8,196.56,4,4,4.9,4130001.0,2021-04-13,2021,2,seg_000159
21NYDECA_WQX-634,43.254,-77.742,0,356.96,1965.6,12.8,196.56,4,8,4.0,4130001.0,2021-08-16,2021,2,seg_000160
21NYDECA_WQX-6484,42.683328,-75.073959,0,153.88,187.8,10.9,18.78,4,7,1.4,2050101.0,2023-07-20,2023,1,seg_000161
21NYDECA_WQX-6631,42.787586,-75.286913,0,170.84,202.2,11.1,20.22,4,8,1.1,2050101.0,2023-08-29,2023,1,seg_000162
21NYDECA_WQX-728,43.27785,-78.71185,0,342.9,359.0,12.2,35.9,4,4,6.7,4130001.0,2021-04-14,2021,2,seg_000163
21NYDECA_WQX-728,43.27785,-78.71185,0,342.9,359.0,12.2,35.9,4,8,7.7,4130001.0,2021-08-26,2021,2,seg_000164
21NYDECA_WQX-77,43.065745,-78.99999,0,315.96,342.7,11.9,34.27,3,8,3.4,4120104.0,2021-08-24,2021,2,seg_000165
21NYDECA_WQX-78,43.064778,-78.988048,0,316.91,343.6,11.9,34.36,3,4,1.6,4120104.0,2021-04-27,2021,1,seg_000166
21NYDECA_WQX-78,43.064778,-78.988048,0,316.91,343.6,11.9,34.36,3,8,3.4,4120104.0,2021-08-24,2021,2,seg_000167
21NYDECA_WQX-79,43.228233,-79.051793,0,314.82,334.7,11.7,33.47,3,4,1.7,4120104.0,2021-04-27,2021,1,seg_000168
21NYDECA_WQX-79,43.228233,-79.051793,0,314.82,334.7,11.7,33.47,3,8,3.2,4120104.0,2021-08-24,2021,2,seg_000169
21NYDECA_WQX-823,42.11866,-77.94654,0,316.79,323.4,28.4,32.34,3,8,5.0,4130002.0,2021-08-17,2021,2,seg_000170
21NYDECA_WQX-8352,40.82763,-72.658648,0,136.78,4406.4,9.0,440.64,7,9,10.2,2030202.0,2023-09-27,2023,3,seg_000171
21NYDECA_WQX-8359,41.04572,-73.709901,0,56.21,5255.4,7.7,525.54,7,4,10.9,1100006.0,2021-04-21,2021,2,seg_000172
21NYDECA_WQX-8359,41.04572,-73.709901,0,56.21,5255.4,7.7,525.54,7,8,11.7,1100006.0,2021-08-24,2021,2,seg_000173
21NYDECA_WQX-8363,40.95944,-73.821995,0,61.38,5194.0,7.8,519.4,7,9,12.8,2030102.0,2023-09-26,2023,3,seg_000174
21NYDECA_WQX-8366,40.88,-73.8686,0,68.97,5110.1,7.9,511.01,7,10,20.2,2030102.0,2019-10-23,2019,3,seg_000175
21NYDECA_WQX-8366,40.88,-73.8686,0,68.97,5110.1,7.9,511.01,7,4,29.5,2030102.0,2021-04-13,2021,5,seg_000176
